Sample,Driver,AvgFPS,1%FPS,1%LowAvg
1,581.94,343.4,177.5,150.6
2,581.94,343.0,164.8,144.2
3,581.94,342.9,176.3,150.3
4,581.94,342.8,187.3,151.6
5,581.94,342.7,166.4,143.7
6,581.94,342.6,171.1,142.5
7,581.94,342.3,172.9,146.1
8,581.94,341.5,161.5,141.8
9,581.94,341.4,164.9,143.8
10,581.94,340.7,163.1,142.2
11,581.80,339.5,172.7,146.1
12,581.80,339.1,169.6,148.4
13,581.80,338.8,166.3,146.6
14,581.80,338.7,164.1,141.1
15,581.80,338.5,171.7,147.9
16,581.80,337.9,173.0,149.1
17,581.80,337.7,160.2,142.3
18,581.80,337.6,160.9,141.8
19,581.80,337.1,159.6,140.9
20,581.80,336.8,158.7,141.6
21,577,336.3,161.8,141.2
22,577,336.2,163.9,143.7
23,577,336.1,163.5,141.5
24,577,336.1,164.7,143.7
25,577,335.8,168.0,146.5
26,577,335.6,165.4,143.4
27,577,334.9,168.1,144.9
28,577,334.7,164.7,143.9
29,577,334.5,157.6,139.7
30,577,334.5,164.2,143.8
