Trial,Driver,Average FPS,1% Percentile FPS,1% Low Avg FPS
1,581.90,719.4,324.1,297.4
2,581.90,718.4,322.7,298.9
3,581.90,716.3,321.7,293.2
4,581.90,715.8,323.1,297.4
5,581.90,715.7,322.9,297.8
6,581.90,715.7,323.0,296.6
7,581.90,715.6,322.7,302.0
8,581.90,714.5,322.8,294.9
9,581.90,712.9,322.4,296.8
10,581.90,712.9,323.6,296.8
1,581.80,741.8,322.7,298.4
2,581.80,741.2,322.6,294.7
3,581.80,740.4,322.4,294.6
4,581.80,740.2,323.7,298.8
5,581.80,740.0,324.2,298.8
6,581.80,739.8,324.6,299.5
7,581.80,739.2,324.1,302.3
8,581.80,738.3,324.2,296.4
9,581.80,738.2,323.0,296.7
10,581.80,737.1,324.1,298.1
1,577.00,769.2,327.0,299.2
2,577.00,767.7,326.4,299.7
3,577.00,767.5,325.4,299.6
4,577.00,767.4,325.4,289.7
5,577.00,766.6,325.6,296.4
6,577.00,766.4,325.2,302.0
7,577.00,766.3,324.1,297.0
8,577.00,766.3,327.0,302.9
9,577.00,764.0,325.8,295.4
10,577.00,762.5,325.4,296.4
